CD_MUN,NM_MUN,NM_BAIRRO,lat,long
2700300,Arapiraca,Centro,-9.751510016601376,-36.66189898753191
2700300,Arapiraca,Batingas,-9.809644879313064,-36.6254960925546
2700300,Arapiraca,Eldorado,-9.74290445901247,-36.66831046352123
2700300,Arapiraca,Capiatã,-9.741630898800665,-36.66264243678953
2700300,Arapiraca,Caititus,-9.73926323682517,-36.65643095905554
2700300,Arapiraca,Senador Arnon de Melo,-9.721938326819073,-36.64729852731136
2700300,Arapiraca,Jardim Esperança,-9.72685056775556,-36.6784206621466
2700300,Arapiraca,Cacimbas,-9.76071031063852,-36.66490181479662
2700300,Arapiraca,Novo Horizonte,-9.744067363586101,-36.645369042318165
2700300,Arapiraca,Cavaco,-9.738494618180887,-36.67667093307648
2700300,Arapiraca,Itapoã,-9.747904714213401,-36.63999158458515
2700300,Arapiraca,Senador Nilo Coelho,-9.730586612733484,-36.697247385274935
2700300,Arapiraca,Santa Esmeralda,-9.73992434274247,-36.64983836482452
2700300,Arapiraca,Senador Teotônio Vilela,-9.74377124540355,-36.6590699551767
2700300,Arapiraca,Ouro Preto,-9.759401456122513,-36.65484827959409
2700300,Arapiraca,Brasiliana,-9.733085079645276,-36.664658222096826
2700300,Arapiraca,Boa Vista,-9.792139152327866,-36.646772549555
2700300,Arapiraca,Manoel Teles,-9.755791659721101,-36.6691853295945
2700300,Arapiraca,Jardim Tropical,-9.75828609619042,-36.643802394628544
2700300,Arapiraca,Zélia Barbosa Rocha,-9.75470091530833,-36.68803262079905
2700300,Arapiraca,Jardim de Maria,-9.736050175014972,-36.65372059519626
2700300,Arapiraca,Massaranduba,-9.706084562631569,-36.67113419119188
2700300,Arapiraca,Alazão,-9.800681654106643,-36.63701524009714
2700300,Arapiraca,Verdes Campos,-9.779018789251591,-36.64785969097794
2700300,Arapiraca,Olho D'Água dos Cazuzinhas,-9.774468632042092,-36.67925035735379
2700300,Arapiraca,Canafístula,-9.769465390442369,-36.62348536831015
2700300,Arapiraca,Deputado Nezinho,-9.731052037278337,-36.629996459644275
2700300,Arapiraca,Alto do Cruzeiro,-9.748200599427554,-36.65506894900958
2700300,Arapiraca,Planalto,-9.72476812904123,-36.662774869408594
2700300,Arapiraca,Bom Sucesso,-9.715455482152551,-36.6866786399212
2700300,Arapiraca,Nova Esperança,-9.772758139063463,-36.639972860547125
2700300,Arapiraca,Baixa Grande,-9.733697924890373,-36.671609678830436
2700300,Arapiraca,Padre Antonio Lima Neto,-9.762516454574897,-36.66899744061992
2700300,Arapiraca,São Luiz II,-9.769048041854939,-36.65460076411558
2700300,Arapiraca,Guaribas,-9.788241302787492,-36.66037771915313
2700300,Arapiraca,Santa Edwiges,-9.735230238580176,-36.65904452196296
2700300,Arapiraca,Baixão,-9.749151584394895,-36.669587552392514
2700300,Arapiraca,João Paulo II,-9.775193648191319,-36.66251090150984
2700300,Arapiraca,São Luiz,-9.766809166635671,-36.64747798758604
2700300,Arapiraca,Primavera,-9.765323247928754,-36.66042572572464
2700300,Arapiraca,Brasília,-9.753570577375251,-36.64833139790336
2700607,Barra de São Miguel,Piaçavas,-9.823136682695987,-35.88830101575623
2700607,Barra de São Miguel,Centro,-9.842811931746617,-35.90353924085836
2700607,Barra de São Miguel,Quebra Cachimbo,-9.833526263628514,-35.892300013104744
2700607,Barra de São Miguel,Barra Mar,-9.823703082402208,-35.880103636940426
2700607,Barra de São Miguel,Porto de Vacas,-9.837715936399087,-35.88970550519583
2700607,Barra de São Miguel,Praia das Conchas,-9.844612560097858,-35.90070274893993
